Distance (A) | State | Partition | DI | Pop(Li) | Pop(H)
        2.20 | GS    | FPIAO(1.0)   | 0.662562 | 2.559229 | 1.339513
        2.20 | GS    | FPIAO(1.5)   | 0.654479 | 2.549720 | 1.349038
        2.20 | GS    | FPIAO(2.0)   | 0.645127 | 2.539044 | 1.359293
        2.40 | GS    | Mulliken     | 0.722066 | 2.612787 | 1.387213
        2.40 | GS    | Lowdin       | 0.826113 | 2.701851 | 1.298149
        2.40 | GS    | Meta-Lowdin  | 0.688482 | 2.607125 | 1.392875
        2.40 | GS    | IAO          | 0.599518 | 2.520394 | 1.370679
        2.40 | GS    | PEIAO        | 0.002506 | 0.241682 | 0.013674
        2.40 | GS    | FPIAO(1.0)   | 0.654781 | 2.587858 | 1.307823
        2.40 | GS    | FPIAO(1.5)   | 0.643701 | 2.574227 | 1.321263
        2.40 | GS    | FPIAO(2.0)   | 0.633410 | 2.561926 | 1.333175
        2.60 | GS    | Mulliken     | 0.684271 | 2.610906 | 1.389094
        2.60 | GS    | Lowdin       | 0.778879 | 2.702235 | 1.297765
        2.60 | GS    | Meta-Lowdin  | 0.669163 | 2.634145 | 1.365855
        2.60 | GS    | IAO          | 0.587406 | 2.552428 | 1.339343
        2.60 | GS    | PEIAO        | 0.002036 | 0.108665 | 0.026083
        2.60 | GS    | FPIAO(1.0)   | 0.638015 | 2.617407 | 1.278559
        2.60 | GS    | FPIAO(1.5)   | 0.625170 | 2.600874 | 1.294748
        2.60 | GS    | FPIAO(2.0)   | 0.614866 | 2.587992 | 1.307239
        2.80 | GS    | Mulliken     | 0.649155 | 2.626746 | 1.373254
        2.80 | GS    | Lowdin       | 0.729093 | 2.707491 | 1.292509
        2.80 | GS    | Meta-Lowdin  | 0.640309 | 2.666194 | 1.333806
        2.80 | GS    | IAO          | 0.567963 | 2.591511 | 1.304460
        2.80 | GS    | PEIAO        | 0.001266 | 0.073982 | 0.036877
        2.80 | GS    | FPIAO(1.0)   | 0.611876 | 2.651145 | 1.248929
        2.80 | GS    | FPIAO(1.5)   | 0.598530 | 2.633133 | 1.266440
        2.80 | GS    | FPIAO(2.0)   | 0.588991 | 2.620607 | 1.278534
        3.00 | GS    | Mulliken     | 0.608982 | 2.656910 | 1.343090
        3.00 | GS    | Lowdin       | 0.673388 | 2.721704 | 1.278296
        3.00 | GS    | Meta-Lowdin  | 0.599138 | 2.704959 | 1.295041
        3.00 | GS    | IAO          | 0.538243 | 2.639466 | 1.264840
        3.00 | GS    | PEIAO        | 0.001058 | 0.071403 | 0.047615
        3.00 | GS    | FPIAO(1.0)   | 0.574341 | 2.691698 | 1.216680
        3.00 | GS    | FPIAO(1.5)   | 0.561593 | 2.673598 | 1.234127
        3.00 | GS    | FPIAO(2.0)   | 0.553376 | 2.662184 | 1.245053
        3.20 | GS    | Mulliken     | 0.556831 | 2.699138 | 1.300862
        3.20 | GS    | Lowdin       | 0.607630+0.000000j | 2.747189+0.000000j | 1.252811+0.000000j
        3.20 | GS    | Meta-Lowdin  | 0.542139 | 2.750625 | 1.249375
        3.20 | GS    | IAO          | 0.494010 | 2.696294 | 1.220593
        3.20 | GS    | PEIAO        | 0.001102 | 0.073928 | 0.058042
        3.20 | GS    | FPIAO(1.0)   | 0.522203 | 2.739909 | 1.180868
        3.20 | GS    | FPIAO(1.5)   | 0.510829 | 2.722928 | 1.197089
        3.20 | GS    | FPIAO(2.0)   | 0.504211 | 2.713155 | 1.206334
        3.40 | GS    | Mulliken     | 0.488160 | 2.750200 | 1.249800
        3.40 | GS    | Lowdin       | 0.528707 | 2.783421 | 1.216579
        3.40 | GS    | Meta-Lowdin  | 0.467631 | 2.800955 | 1.199045
        3.40 | GS    | IAO          | 0.432238 | 2.758949 | 1.173801
        3.40 | GS    | PEIAO        | 0.001256 | 0.075982 | 0.067089
        3.40 | GS    | FPIAO(1.0)   | 0.453398 | 2.793616 | 1.142594
        3.40 | GS    | FPIAO(1.5)   | 0.443751 | 2.778653 | 1.156771
        3.40 | GS    | FPIAO(2.0)   | 0.438714 | 2.770789 | 1.164108
        3.60 | GS    | Mulliken     | 0.404294 | 2.804658 | 1.195342
        3.60 | GS    | Lowdin       | 0.437927 | 2.826383 | 1.173617
        3.60 | GS    | Meta-Lowdin  | 0.379542 | 2.851157 | 1.148843
        3.60 | GS    | IAO          | 0.355300 | 2.821191 | 1.128516
        3.60 | GS    | PEIAO        | 0.001508 | 0.077444 | 0.073449
        3.60 | GS    | FPIAO(1.0)   | 0.370899 | 2.847454 | 1.105068
        3.60 | GS    | FPIAO(1.5)   | 0.362947 | 2.834999 | 1.116799
        3.60 | GS    | FPIAO(2.0)   | 0.359254 | 2.829043 | 1.122284
        3.80 | GS    | Mulliken     | 0.314218 | 2.855850 | 1.144150
        3.80 | GS    | Lowdin       | 0.343106+0.000000j | 2.869717+0.000000j | 1.130283+0.000000j
        3.80 | GS    | Meta-Lowdin  | 0.288454 | 2.895594 | 1.104406
        3.80 | GS    | IAO          | 0.272765 | 2.875851 | 1.089276
        3.80 | GS    | PEIAO        | 0.001883 | 0.079400 | 0.076160
        3.80 | GS    | FPIAO(1.0)   | 0.284313 | 2.894948 | 1.072266
        3.80 | GS    | FPIAO(1.5)   | 0.277827 | 2.885068 | 1.081549
        3.80 | GS    | FPIAO(2.0)   | 0.275163 | 2.880794 | 1.085446
        4.00 | GS    | Mulliken     | 0.230343 | 2.898617 | 1.101383
        4.00 | GS    | Lowdin       | 0.255325 | 2.907683 | 1.092317
