Distance (A) | State | Partition | DI | Pop(Li) | Pop(H)
        9.20 | GS    | FPIAO(1.0)   | 0.000003 | 2.999822 | 0.999972
        9.20 | GS    | FPIAO(1.5)   | 0.000003 | 2.999822 | 0.999973
        9.20 | GS    | FPIAO(2.0)   | 0.000003 | 2.999823 | 0.999973
        9.40 | GS    | Mulliken     | 0.000050 | 3.000039 | 0.999961
        9.40 | GS    | Lowdin       | 0.000608 | 3.000575 | 0.999425
        9.40 | GS    | Meta-Lowdin  | 0.000003 | 3.000000 | 1.000000
        9.40 | GS    | IAO          | 0.000002 | 2.999821 | 0.999973
        9.40 | GS    | PEIAO        | 0.000055 | 0.134558 | 0.002292
        9.40 | GS    | FPIAO(1.0)   | 0.000002 | 2.999823 | 0.999972
        9.40 | GS    | FPIAO(1.5)   | 0.000002 | 2.999823 | 0.999973
        9.40 | GS    | FPIAO(2.0)   | 0.000002 | 2.999824 | 0.999973
        9.60 | GS    | Mulliken     | 0.000043 | 3.000035 | 0.999965
        9.60 | GS    | Lowdin       | 0.000537+0.000000j | 3.000505-0.000000j | 0.999495+0.000000j
        9.60 | GS    | Meta-Lowdin  | 0.000002 | 3.000000 | 1.000000
        9.60 | GS    | IAO          | 0.000001 | 2.999822 | 0.999973
        9.60 | GS    | PEIAO        | 0.000044 | 0.134399 | 0.002181
        9.60 | GS    | FPIAO(1.0)   | 0.000001 | 2.999824 | 0.999973
        9.60 | GS    | FPIAO(1.5)   | 0.000001 | 2.999824 | 0.999973
        9.60 | GS    | FPIAO(2.0)   | 0.000001 | 2.999824 | 0.999973
        9.80 | GS    | Mulliken     | 0.000037 | 3.000031 | 0.999969
        9.80 | GS    | Lowdin       | 0.000473 | 3.000442 | 0.999558
        9.80 | GS    | Meta-Lowdin  | 0.000001 | 3.000000 | 1.000000
        9.80 | GS    | IAO          | 0.000001 | 2.999823 | 0.999974
        9.80 | GS    | PEIAO        | 0.000035 | 0.134264 | 0.002090
        9.80 | GS    | FPIAO(1.0)   | 0.000001 | 2.999824 | 0.999974
        9.80 | GS    | FPIAO(1.5)   | 0.000001 | 2.999825 | 0.999974
        9.80 | GS    | FPIAO(2.0)   | 0.000001 | 2.999825 | 0.999974
       10.00 | GS    | Mulliken     | 0.000031 | 3.000028 | 0.999972
       10.00 | GS    | Lowdin       | 0.000414 | 3.000385 | 0.999615
       10.00 | GS    | Meta-Lowdin  | 0.000001 | 3.000000 | 1.000000
       10.00 | GS    | IAO          | 0.000000 | 2.999823 | 0.999974
       10.00 | GS    | PEIAO        | 0.000028 | 0.134153 | 0.002014
       10.00 | GS    | FPIAO(1.0)   | 0.000001 | 2.999825 | 0.999974
       10.00 | GS    | FPIAO(1.5)   | 0.000000 | 2.999825 | 0.999974
       10.00 | GS    | FPIAO(2.0)   | 0.000000 | 2.999825 | 0.999974
        1.00 | ES    | Mulliken     | 0.400629 | 3.500101 | 0.499899
        1.00 | ES    | Lowdin       | 0.681247 | 2.904751 | 1.095249
        1.00 | ES    | Meta-Lowdin  | 0.131362 | 2.835749 | 1.164251
        1.00 | ES    | IAO          | 0.049502 | 2.618697 | 1.120620
        1.00 | ES    | PEIAO        | 0.029119 | 0.638736 | 0.267130
        1.00 | ES    | FPIAO(1.0)   | 0.071680 | 2.647155 | 1.108589
        1.00 | ES    | FPIAO(1.5)   | 0.084406 | 2.665345 | 1.099906
        1.00 | ES    | FPIAO(2.0)   | 0.093095 | 2.678916 | 1.093685
        1.30 | ES    | Mulliken     | 0.229541 | 3.339925 | 0.660075
        1.30 | ES    | Lowdin       | 0.554223 | 3.036590 | 0.963410
        1.30 | ES    | Meta-Lowdin  | 0.129061 | 2.820040 | 1.179960
        1.30 | ES    | IAO          | 0.033845 | 2.620752 | 1.127413
        1.30 | ES    | PEIAO        | 0.019520 | 0.616202 | 0.257221
        1.30 | ES    | FPIAO(1.0)   | 0.067876 | 2.665451 | 1.110851
        1.30 | ES    | FPIAO(1.5)   | 0.080580 | 2.686259 | 1.103437
        1.30 | ES    | FPIAO(2.0)   | 0.086520 | 2.697615 | 1.099337
        1.50 | ES    | Mulliken     | 0.188837 | 3.245800 | 0.754200
        1.50 | ES    | Lowdin       | 0.500729+0.000000j | 3.086876+0.000000j | 0.913124+0.000000j
        1.50 | ES    | Meta-Lowdin  | 0.136134 | 2.807434 | 1.192566
        1.50 | ES    | IAO          | 0.029109 | 2.608275 | 1.130682
        1.50 | ES    | PEIAO        | 0.016471 | 0.584171 | 0.237924
        1.50 | ES    | FPIAO(1.0)   | 0.071432 | 2.662905 | 1.108225
        1.50 | ES    | FPIAO(1.5)   | 0.081715 | 2.680772 | 1.102074
        1.50 | ES    | FPIAO(2.0)   | 0.084238 | 2.687081 | 1.099807
        1.70 | ES    | Mulliken     | 0.160381 | 3.162806 | 0.837194
        1.70 | ES    | Lowdin       | 0.452167-0.000000j | 3.117879+0.000000j | 0.882121-0.000000j
        1.70 | ES    | Meta-Lowdin  | 0.147011 | 2.792797 | 1.207203
        1.70 | ES    | IAO          | 0.028091 | 2.589424 | 1.136109
        1.70 | ES    | PEIAO        | 0.015686 | 0.533149 | 0.218319
        1.70 | ES    | FPIAO(1.0)   | 0.078147 | 2.651024 | 1.105560
        1.70 | ES    | FPIAO(1.5)   | 0.084547 | 2.662876 | 1.101164
        1.70 | ES    | FPIAO(2.0)   | 0.083332 | 2.663356 | 1.101171
        1.90 | ES    | Mulliken     | 0.138251 | 3.085138 | 0.914862
        1.90 | ES    | Lowdin       | 0.408259 | 3.130381 | 0.869619
        1.90 | ES    | Meta-Lowdin  | 0.160280 | 2.776588 | 1.223412
        1.90 | ES    | IAO          | 0.030407 | 2.565669 | 1.144932
        1.90 | ES    | PEIAO        | 0.017249 | 0.462869 | 0.199920
        1.90 | ES    | FPIAO(1.0)   | 0.086892 | 2.630562 | 1.105599
        1.90 | ES    | FPIAO(1.5)   | 0.088572 | 2.635215 | 1.104010
        1.90 | ES    | FPIAO(2.0)   | 0.083798 | 2.630657 | 1.106833
        2.10 | ES    | Mulliken     | 0.131892 | 3.016087 | 0.983913
        2.10 | ES    | Lowdin       | 0.374003 | 3.124213 | 0.875787
        2.10 | ES    | Meta-Lowdin  | 0.175751 | 2.758525 | 1.241475
        2.10 | ES    | IAO          | 0.036015 | 2.537907 | 1.157583
        2.10 | ES    | PEIAO        | 0.019327 | 0.372631 | 0.179814
        2.10 | ES    | FPIAO(1.0)   | 0.096919 | 2.602817 | 1.110718
        2.10 | ES    | FPIAO(1.5)   | 0.093620 | 2.600765 | 1.113035
        2.10 | ES    | FPIAO(2.0)   | 0.085782 | 2.592668 | 1.118838
        2.30 | ES    | Mulliken     | 0.148030 | 2.962878 | 1.037122
        2.30 | ES    | Lowdin       | 0.354441+0.000000j | 3.101753+0.000000j | 0.898247+0.000000j
        2.30 | ES    | Meta-Lowdin  | 0.194691 | 2.737576 | 1.262424
        2.30 | ES    | IAO          | 0.045019 | 2.506499 | 1.174178
        2.30 | ES    | PEIAO        | 0.017641 | 0.254329 | 0.159529
        2.30 | ES    | FPIAO(1.0)   | 0.107890 | 2.569176 | 1.122422
        2.30 | ES    | FPIAO(1.5)   | 0.099889 | 2.561730 | 1.129088
        2.30 | ES    | FPIAO(2.0)   | 0.089723 | 2.551547 | 1.137430
        2.50 | ES    | Mulliken     | 0.182965 | 2.920171 | 1.079829
        2.50 | ES    | Lowdin       | 0.352104 | 3.066427 | 0.933573
        2.50 | ES    | Meta-Lowdin  | 0.218523 | 2.712694 | 1.287306
        2.50 | ES    | IAO          | 0.057280 | 2.471003 | 1.194743
        2.50 | ES    | PEIAO        | 0.010798 | 0.136839 | 0.138080
        2.50 | ES    | FPIAO(1.0)   | 0.119794 | 2.530307 | 1.141025
        2.50 | ES    | FPIAO(1.5)   | 0.107791 | 2.518878 | 1.151685
        2.50 | ES    | FPIAO(2.0)   | 0.096136 | 2.507699 | 1.161762
        2.70 | ES    | Mulliken     | 0.231174 | 2.879667 | 1.120333
        2.70 | ES    | Lowdin       | 0.367064 | 3.021044 | 0.978956
        2.70 | ES    | Meta-Lowdin  | 0.247896 | 2.682882 | 1.317118
        2.70 | ES    | IAO          | 0.071936 | 2.430234 | 1.219405
        2.70 | ES    | PEIAO        | 0.006306 | 0.086731 | 0.112584
        2.70 | ES    | FPIAO(1.0)   | 0.132450 | 2.485922 | 1.166116
        2.70 | ES    | FPIAO(1.5)   | 0.117316 | 2.471680 | 1.179953
        2.70 | ES    | FPIAO(2.0)   | 0.104936 | 2.460215 | 1.190937
        2.90 | ES    | Mulliken     | 0.288386 | 2.835877 | 1.164123
        2.90 | ES    | Lowdin       | 0.397379 | 2.967287 | 1.032713
        2.90 | ES    | Meta-Lowdin  | 0.282111 | 2.647298 | 1.352702
        2.90 | ES    | IAO          | 0.086867 | 2.382683 | 1.248298
        2.90 | ES    | PEIAO        | 0.004966 | 0.080853 | 0.087820
        2.90 | ES    | FPIAO(1.0)   | 0.144689 | 2.435091 | 1.197033
        2.90 | ES    | FPIAO(1.5)   | 0.127207 | 2.418886 | 1.213127
        2.90 | ES    | FPIAO(2.0)   | 0.114667 | 2.407555 | 1.224339
        3.10 | ES    | Mulliken     | 0.349732 | 2.786069 | 1.213931
        3.10 | ES    | Lowdin       | 0.438633 | 2.906074 | 1.093926
        3.10 | ES    | Meta-Lowdin  | 0.318493 | 2.605836 | 1.394164
        3.10 | ES    | IAO          | 0.098401 | 2.327483 | 1.281080
        3.10 | ES    | PEIAO        | 0.004430 | 0.088410 | 0.065043
        3.10 | ES    | FPIAO(1.0)   | 0.153700 | 2.377180 | 1.232759
        3.10 | ES    | FPIAO(1.5)   | 0.134412 | 2.359597 | 1.250276
        3.10 | ES    | FPIAO(2.0)   | 0.122038 | 2.348621 | 1.261220
        3.30 | ES    | Mulliken     | 0.408156 | 2.730325 | 1.269675
        3.30 | ES    | Lowdin       | 0.483151+0.000000j | 2.838837-0.000000j | 1.161163+0.000000j
        3.30 | ES    | Meta-Lowdin  | 0.352372 | 2.560107 | 1.439893
        3.30 | ES    | IAO          | 0.101965 | 2.265855 | 1.316123
        3.30 | ES    | PEIAO        | 0.003761 | 0.099001 | 0.044655
        3.30 | ES    | FPIAO(1.0)   | 0.155321 | 2.313296 | 1.271298
        3.30 | ES    | FPIAO(1.5)   | 0.134556 | 2.294780 | 1.289511
        3.30 | ES    | FPIAO(2.0)   | 0.122487 | 2.284270 | 1.299837
        3.50 | ES    | Mulliken     | 0.455315 | 2.672065 | 1.327935
        3.50 | ES    | Lowdin       | 0.520977 | 2.769136 | 1.230864
        3.50 | ES    | Meta-Lowdin  | 0.378666 | 2.514223 | 1.485777
        3.50 | ES    | IAO          | 0.094431 | 2.202212 | 1.349912
        3.50 | ES    | PEIAO        | 0.002788 | 0.108860 | 0.027760
        3.50 | ES    | FPIAO(1.0)   | 0.146152 | 2.247457 | 1.309057
        3.50 | ES    | FPIAO(1.5)   | 0.124232 | 2.228448 | 1.327287
        3.50 | ES    | FPIAO(2.0)   | 0.112567 | 2.218494 | 1.336732
        3.70 | ES    | Mulliken     | 0.485488 | 2.617546 | 1.382454
        3.70 | ES    | Lowdin       | 0.544051 | 2.703093 | 1.296907
        3.70 | ES    | Meta-Lowdin  | 0.394939 | 2.474165 | 1.525835
        3.70 | ES    | IAO          | 0.077083 | 2.143330 | 1.377624
        3.70 | ES    | PEIAO        | 0.001713 | 0.116187 | 0.015554
        3.70 | ES    | FPIAO(1.0)   | 0.126630 | 2.185937 | 1.341263
        3.70 | ES    | FPIAO(1.5)   | 0.104142 | 2.166970 | 1.358825
        3.70 | ES    | FPIAO(2.0)   | 0.093082 | 2.157698 | 1.367176
        3.90 | ES    | Mulliken     | 0.499104 | 2.573419 | 1.426581
        3.90 | ES    | Lowdin       | 0.550706-0.000000j | 2.647525-0.000000j | 1.352475+0.000000j
        3.90 | ES    | Meta-Lowdin  | 0.403026 | 2.445392 | 1.554608
        3.90 | ES    | IAO          | 0.055571 | 2.095160 | 1.395118
        3.90 | ES    | PEIAO        | 0.000823 | 0.120259 | 0.008505
        3.90 | ES    | FPIAO(1.0)   | 0.101583 | 2.134349 | 1.363725
        3.90 | ES    | FPIAO(1.5)   | 0.079465 | 2.116051 | 1.379962
        3.90 | ES    | FPIAO(2.0)   | 0.069339 | 2.107622 | 1.387066
        4.10 | ES    | Mulliken     | 0.501457 | 2.543959 | 1.456041
        4.10 | ES    | Lowdin       | 0.545280 | 2.607165 | 1.392835
        4.10 | ES    | Meta-Lowdin  | 0.407020 | 2.430650 | 1.569350
        4.10 | ES    | IAO          | 0.035954 | 2.059975 | 1.400659
        4.10 | ES    | PEIAO        | 0.000272 | 0.121248 | 0.006056
        4.10 | ES    | FPIAO(1.0)   | 0.076865 | 2.094960 | 1.374466
        4.10 | ES    | FPIAO(1.5)   | 0.056200 | 2.077945 | 1.388850
        4.10 | ES    | FPIAO(2.0)   | 0.047343 | 2.070508 | 1.394650
        4.30 | ES    | Mulliken     | 0.498248 | 2.530374 | 1.469626
        4.30 | ES    | Lowdin       | 0.533606 | 2.583650 | 1.416350
        4.30 | ES    | Meta-Lowdin  | 0.410116 | 2.429999 | 1.570001
        4.30 | ES    | IAO          | 0.021309 | 2.036441 | 1.394796
        4.30 | ES    | PEIAO        | 0.000037 | 0.119864 | 0.007012
        4.30 | ES    | FPIAO(1.0)   | 0.055989 | 2.066687 | 1.373698
        4.30 | ES    | FPIAO(1.5)   | 0.037689 | 2.051444 | 1.385910
        4.30 | ES    | FPIAO(2.0)   | 0.030316 | 2.045088 | 1.390456
        4.50 | ES    | Mulliken     | 0.492681 | 2.532040 | 1.467960
        4.50 | ES    | Lowdin       | 0.519457 | 2.576532 | 1.423468
        4.50 | ES    | Meta-Lowdin  | 0.413354 | 2.442357 | 1.557643
        4.50 | ES    | IAO          | 0.011747 | 2.021607 | 1.379050
        4.50 | ES    | PEIAO        | 0.000012 | 0.116886 | 0.010115
        4.50 | ES    | FPIAO(1.0)   | 0.039761 | 2.046911 | 1.362644
        4.50 | ES    | FPIAO(1.5)   | 0.024390 | 2.033754 | 1.372589
        4.50 | ES    | FPIAO(2.0)   | 0.018550 | 2.028497 | 1.376014
        4.70 | ES    | Mulliken     | 0.485080 | 2.547869 | 1.452131
        4.70 | ES    | Lowdin       | 0.503694+0.000000j | 2.584676+0.000000j | 1.415324+0.000000j
        4.70 | ES    | Meta-Lowdin  | 0.415875 | 2.466770 | 1.533230
        4.70 | ES    | IAO          | 0.006054 | 2.012593 | 1.354864
        4.70 | ES    | PEIAO        | 0.000086 | 0.112890 | 0.014348
        4.70 | ES    | FPIAO(1.0)   | 0.027591 | 2.033042 | 1.342556
        4.70 | ES    | FPIAO(1.5)   | 0.015346 | 2.022109 | 1.350326
        4.70 | ES    | FPIAO(2.0)   | 0.010947 | 2.017910 | 1.352809
        4.90 | ES    | Mulliken     | 0.473467 | 2.576869 | 1.423131
        4.90 | ES    | Lowdin       | 0.484755 | 2.606926 | 1.393074
        4.90 | ES    | Meta-Lowdin  | 0.415322 | 2.502740 | 1.497260
        4.90 | ES    | IAO          | 0.002895 | 2.007231 | 1.323315
        4.90 | ES    | PEIAO        | 0.000177 | 0.108205 | 0.018965
        4.90 | ES    | FPIAO(1.0)   | 0.018593 | 2.023138 | 1.314423
        4.90 | ES    | FPIAO(1.5)   | 0.009366 | 2.014418 | 1.320240
        4.90 | ES    | FPIAO(2.0)   | 0.006228 | 2.011190 | 1.321970
        5.10 | ES    | Mulliken     | 0.454272 | 2.617884 | 1.382116
        5.10 | ES    | Lowdin       | 0.459420 | 2.641968 | 1.358032
        5.10 | ES    | Meta-Lowdin  | 0.408065 | 2.549793 | 1.450207
        5.10 | ES    | IAO          | 0.001258 | 2.004087 | 1.285402
        5.10 | ES    | PEIAO        | 0.000236 | 0.103018 | 0.023391
        5.10 | ES    | FPIAO(1.0)   | 0.012040 | 2.015931 | 1.279240
        5.10 | ES    | FPIAO(1.5)   | 0.005492 | 2.009289 | 1.283401
        5.10 | ES    | FPIAO(2.0)   | 0.003386 | 2.006914 | 1.284558
        5.30 | ES    | Mulliken     | 0.423457 | 2.668855 | 1.331145
        5.30 | ES    | Lowdin       | 0.423982+0.000000j | 2.687661+0.000000j | 1.312339+0.000000j
        5.30 | ES    | Meta-Lowdin  | 0.389837 | 2.606577 | 1.393423
        5.30 | ES    | IAO          | 0.000476 | 2.002268 | 1.242627
        5.30 | ES    | PEIAO        | 0.000240 | 0.097523 | 0.027134
        5.30 | ES    | FPIAO(1.0)   | 0.007411 | 2.010656 | 1.238543
        5.30 | ES    | FPIAO(1.5)   | 0.003059 | 2.005852 | 1.241380
        5.30 | ES    | FPIAO(2.0)   | 0.001738 | 2.004193 | 1.242120
        5.50 | ES    | Mulliken     | 0.378600 | 2.726082 | 1.273918
        5.50 | ES    | Lowdin       | 0.376243 | 2.740327 | 1.259673
        5.50 | ES    | Meta-Lowdin  | 0.357457 | 2.669962 | 1.330038
        5.50 | ES    | IAO          | 0.000146 | 2.001232 | 1.197491
        5.50 | ES    | PEIAO        | 0.000195 | 0.092039 | 0.029761
        5.50 | ES    | FPIAO(1.0)   | 0.004313 | 2.006857 | 1.194907
        5.50 | ES    | FPIAO(1.5)   | 0.001605 | 2.003571 | 1.196749
        5.50 | ES    | FPIAO(2.0)   | 0.000834 | 2.002476 | 1.197201
        5.70 | ES    | Mulliken     | 0.321335 | 2.784262 | 1.215738
        5.70 | ES    | Lowdin       | 0.317788 | 2.794754 | 1.205246
        5.70 | ES    | Meta-Lowdin  | 0.311325 | 2.734891 | 1.265109
        5.70 | ES    | IAO          | 0.000030 | 2.000655 | 1.153456
        5.70 | ES    | PEIAO        | 0.000125 | 0.086993 | 0.030969
        5.70 | ES    | FPIAO(1.0)   | 0.002384 | 2.004224 | 1.151891
        5.70 | ES    | FPIAO(1.5)   | 0.000797 | 2.002101 | 1.153035
        5.70 | ES    | FPIAO(2.0)   | 0.000376 | 2.001418 | 1.153299
        5.90 | ES    | Mulliken     | 0.257960 | 2.837797 | 1.162203
        5.90 | ES    | Lowdin       | 0.254522-0.000000j | 2.845405-0.000000j | 1.154595-0.000000j
        5.90 | ES    | Meta-Lowdin  | 0.256566 | 2.795598 | 1.204402
        5.90 | ES    | IAO          | 0.000002 | 2.000340 | 1.114057
        5.90 | ES    | PEIAO        | 0.000061 | 0.082773 | 0.030696
        5.90 | ES    | FPIAO(1.0)   | 0.001274 | 2.002500 | 1.113140
        5.90 | ES    | FPIAO(1.5)   | 0.000382 | 2.001195 | 1.113827
        5.90 | ES    | FPIAO(2.0)   | 0.000164 | 2.000792 | 1.113975
        6.10 | ES    | Mulliken     | 0.196756 | 2.882676 | 1.117324
        6.10 | ES    | Lowdin       | 0.194133 | 2.888237 | 1.111763
        6.10 | ES    | Meta-Lowdin  | 0.200966 | 2.847620 | 1.152380
        6.10 | ES    | IAO          | 0.000001 | 2.000170 | 1.081667
        6.10 | ES    | PEIAO        | 0.000022 | 0.079547 | 0.029155
        6.10 | ES    | FPIAO(1.0)   | 0.000676 | 2.001436 | 1.081139
        6.10 | ES    | FPIAO(1.5)   | 0.000184 | 2.000664 | 1.081543
        6.10 | ES    | FPIAO(2.0)   | 0.000073 | 2.000435 | 1.081625
        6.30 | ES    | Mulliken     | 0.144087 | 2.917488 | 1.082512
        6.30 | ES    | Lowdin       | 0.142460+0.000000j | 2.921696+0.000000j | 1.078304+0.000000j
        6.30 | ES    | Meta-Lowdin  | 0.151202 | 2.889060 | 1.110940
        6.30 | ES    | IAO          | 0.000004 | 2.000079 | 1.056896
        6.30 | ES    | PEIAO        | 0.000007 | 0.077237 | 0.026742
        6.30 | ES    | FPIAO(1.0)   | 0.000365 | 2.000812 | 1.056593
        6.30 | ES    | FPIAO(1.5)   | 0.000092 | 2.000365 | 1.056830
        6.30 | ES    | FPIAO(2.0)   | 0.000035 | 2.000238 | 1.056875
        6.50 | ES    | Mulliken     | 0.102553 | 2.942981 | 1.057019
        6.50 | ES    | Lowdin       | 0.101799 | 2.946346 | 1.053654
        6.50 | ES    | Meta-Lowdin  | 0.110632 | 2.920349 | 1.079651
        6.50 | ES    | IAO          | 0.000005 | 2.000030 | 1.038953
        6.50 | ES    | PEIAO        | 0.000009 | 0.075617 | 0.023877
        6.50 | ES    | FPIAO(1.0)   | 0.000204 | 2.000458 | 1.038776
        6.50 | ES    | FPIAO(1.5)   | 0.000049 | 2.000201 | 1.038918
        6.50 | ES    | FPIAO(2.0)   | 0.000019 | 2.000131 | 1.038943
        6.70 | ES    | Mulliken     | 0.071714 | 2.960955 | 1.039045
        6.70 | ES    | Lowdin       | 0.071603 | 2.963810 | 1.036190
        6.70 | ES    | Meta-Lowdin  | 0.079588 | 2.943169 | 1.056831
        6.70 | ES    | IAO          | 0.000005 | 2.000001 | 1.026416
        6.70 | ES    | PEIAO        | 0.000017 | 0.074447 | 0.020901
        6.70 | ES    | FPIAO(1.0)   | 0.000119 | 2.000260 | 1.026311
        6.70 | ES    | FPIAO(1.5)   | 0.000027 | 2.000111 | 1.026397
        6.70 | ES    | FPIAO(2.0)   | 0.000011 | 2.000073 | 1.026411
        6.90 | ES    | Mulliken     | 0.049670 | 2.973348 | 1.026652
        6.90 | ES    | Lowdin       | 0.049979 | 2.975890 | 1.024110
        6.90 | ES    | Meta-Lowdin  | 0.056754 | 2.959496 | 1.040504
        6.90 | ES    | IAO          | 0.000004 | 1.999984 | 1.017842
        6.90 | ES    | PEIAO        | 0.000026 | 0.073537 | 0.018040
        6.90 | ES    | FPIAO(1.0)   | 0.000072 | 2.000148 | 1.017777
        6.90 | ES    | FPIAO(1.5)   | 0.000016 | 2.000062 | 1.017831
        6.90 | ES    | FPIAO(2.0)   | 0.000007 | 2.000040 | 1.017839
        7.10 | ES    | Mulliken     | 0.034261 | 2.981799 | 1.018201
        7.10 | ES    | Lowdin       | 0.034815 | 2.984135 | 1.015865
        7.10 | ES    | Meta-Lowdin  | 0.040333 | 2.971075 | 1.028925
        7.10 | ES    | IAO          | 0.000003 | 1.999973 | 1.012041
        7.10 | ES    | PEIAO        | 0.000031 | 0.072766 | 0.015420
        7.10 | ES    | FPIAO(1.0)   | 0.000045 | 2.000084 | 1.012000
        7.10 | ES    | FPIAO(1.5)   | 0.000009 | 2.000033 | 1.012035
        7.10 | ES    | FPIAO(2.0)   | 0.000004 | 2.000021 | 1.012040
        7.30 | ES    | Mulliken     | 0.023616 | 2.987539 | 1.012461
        7.30 | ES    | Lowdin       | 0.024294 | 2.989718 | 1.010282
        7.30 | ES    | Meta-Lowdin  | 0.028659 | 2.979273 | 1.020727
        7.30 | ES    | IAO          | 0.000002 | 1.999965 | 1.008133
        7.30 | ES    | PEIAO        | 0.000034 | 0.072071 | 0.013099
        7.30 | ES    | FPIAO(1.0)   | 0.000029 | 2.000046 | 1.008107
        7.30 | ES    | FPIAO(1.5)   | 0.000006 | 2.000016 | 1.008130
        7.30 | ES    | FPIAO(2.0)   | 0.000003 | 2.000009 | 1.008133
        7.50 | ES    | Mulliken     | 0.016301 | 2.991439 | 1.008561
        7.50 | ES    | Lowdin       | 0.017025 | 2.993479 | 1.006521
        7.50 | ES    | Meta-Lowdin  | 0.020399 | 2.985087 | 1.014913
        7.50 | ES    | IAO          | 0.000001 | 1.999960 | 1.005502
        7.50 | ES    | PEIAO        | 0.000034 | 0.071420 | 0.011087
        7.50 | ES    | FPIAO(1.0)   | 0.000019 | 2.000023 | 1.005485
        7.50 | ES    | FPIAO(1.5)   | 0.000004 | 2.000005 | 1.005500
        7.50 | ES    | FPIAO(2.0)   | 0.000002 | 2.000001 | 1.005502
        7.70 | ES    | Mulliken     | 0.011281 | 2.994096 | 1.005904
        7.70 | ES    | Lowdin       | 0.012004 | 2.996001 | 1.003999
        7.70 | ES    | Meta-Lowdin  | 0.014556 | 2.989227 | 1.010773
        7.70 | ES    | IAO          | 0.000001 | 1.999956 | 1.003728
        7.70 | ES    | PEIAO        | 0.000032 | 0.070806 | 0.009374
        7.70 | ES    | FPIAO(1.0)   | 0.000013 | 2.000008 | 1.003716
        7.70 | ES    | FPIAO(1.5)   | 0.000002 | 1.999997 | 1.003726
        7.70 | ES    | FPIAO(2.0)   | 0.000001 | 1.999995 | 1.003728
        7.90 | ES    | Mulliken     | 0.007833 | 2.995913 | 1.004087
        7.90 | ES    | Lowdin       | 0.008529+0.000000j | 2.997680+0.000000j | 1.002320+0.000000j
        7.90 | ES    | Meta-Lowdin  | 0.010417 | 2.992189 | 1.007811
        7.90 | ES    | IAO          | 0.000001 | 1.999953 | 1.002528
        7.90 | ES    | PEIAO        | 0.000029 | 0.070229 | 0.007932
        7.90 | ES    | FPIAO(1.0)   | 0.000009 | 1.999998 | 1.002520
        7.90 | ES    | FPIAO(1.5)   | 0.000001 | 1.999992 | 1.002528
        7.90 | ES    | FPIAO(2.0)   | 0.000001 | 1.999991 | 1.002528
        8.10 | ES    | Mulliken     | 0.005460 | 2.997162 | 1.002838
        8.10 | ES    | Lowdin       | 0.006115 | 2.998787 | 1.001213
        8.10 | ES    | Meta-Lowdin  | 0.007477 | 2.994318 | 1.005682
        8.10 | ES    | IAO          | 0.000000 | 1.999951 | 1.001715
        8.10 | ES    | PEIAO        | 0.000026 | 0.069693 | 0.006732
        8.10 | ES    | FPIAO(1.0)   | 0.000006 | 1.999991 | 1.001710
        8.10 | ES    | FPIAO(1.5)   | 0.000001 | 1.999988 | 1.001715
        8.10 | ES    | FPIAO(2.0)   | 0.000000 | 1.999988 | 1.001715
        8.30 | ES    | Mulliken     | 0.003821 | 2.998025 | 1.001975
        8.30 | ES    | Lowdin       | 0.004431 | 2.999504 | 1.000496
        8.30 | ES    | Meta-Lowdin  | 0.005381 | 2.995855 | 1.004145
        8.30 | ES    | IAO          | 0.000000 | 1.999949 | 1.001163
        8.30 | ES    | PEIAO        | 0.000022 | 0.069204 | 0.005742
        8.30 | ES    | FPIAO(1.0)   | 0.000004 | 1.999985 | 1.001159
        8.30 | ES    | FPIAO(1.5)   | 0.000000 | 1.999985 | 1.001163
        8.30 | ES    | FPIAO(2.0)   | 0.000000 | 1.999985 | 1.001163
        8.50 | ES    | Mulliken     | 0.002685 | 2.998623 | 1.001377
        8.50 | ES    | Lowdin       | 0.003249 | 2.999957 | 1.000043
        8.50 | ES    | Meta-Lowdin  | 0.003881 | 2.996970 | 1.003030
        8.50 | ES    | IAO          | 0.000000 | 1.999948 | 1.000787
        8.50 | ES    | PEIAO        | 0.000019 | 0.068763 | 0.004931
        8.50 | ES    | FPIAO(1.0)   | 0.000003 | 1.999982 | 1.000784
        8.50 | ES    | FPIAO(1.5)   | 0.000000 | 1.999983 | 1.000787
        8.50 | ES    | FPIAO(2.0)   | 0.000000 | 1.999983 | 1.000787
        8.70 | ES    | Mulliken     | 0.001895 | 2.999040 | 1.000960
        8.70 | ES    | Lowdin       | 0.002414 | 3.000232 | 0.999768
        8.70 | ES    | Meta-Lowdin  | 0.002806 | 2.997782 | 1.002218
        8.70 | ES    | IAO          | 0.000000 | 1.999947 | 1.000530
        8.70 | ES    | PEIAO        | 0.000016 | 0.068372 | 0.004271
        8.70 | ES    | FPIAO(1.0)   | 0.000002 | 1.999979 | 1.000528
        8.70 | ES    | FPIAO(1.5)   | 0.000000 | 1.999981 | 1.000530
        8.70 | ES    | FPIAO(2.0)   | 0.000000 | 1.999982 | 1.000530
        8.90 | ES    | Mulliken     | 0.001343 | 2.999331 | 1.000669
        8.90 | ES    | Lowdin       | 0.001820 | 3.000387 | 0.999613
        8.90 | ES    | Meta-Lowdin  | 0.002031 | 2.998375 | 1.001625
        8.90 | ES    | IAO          | 0.000000 | 1.999945 | 1.000355
        8.90 | ES    | PEIAO        | 0.000013 | 0.068030 | 0.003737
